SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
ASF639B,2021-11-04,500,500,Wallow West Unit 5,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.03999999999999,-109.39068664550781,Complete
FFD1604B,2021-11-05,100,88,Observatory Mesa,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.2158526513686,-111.69520072937013,Complete
PNF0509P,2021-11-05,35,20,East Side Piles,Pile,"U.S. Forest Service, Prescott, Verde",34.6688826353297,-112.12955862426757,Complete
ASF214B,2021-11-05,470,250,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.39050105975728,-110.63638813781738,Complete
ASF639B,2021-11-05,1000,875,Wallow West Unit 5,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.03177201005478,-109.40311434936525,Complete
FFD1604B,2021-11-06,100,100,Observatory Mesa,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.2158526513686,-111.69520072937013,Complete
ASF143B,2021-11-06,2500,2500,Wallow West,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.72580364600435,-109.46341403198242,Complete
ASF214B,2021-11-06,1029,400,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.38974543234133,-110.66327641296387,Complete
ASF639B,2021-11-06,2500,1500,Wallow West Unit 5,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.03177201005478,-109.40311434936525,Complete
FFD1604B,2021-11-07,100,0,Observatory Mesa,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.2158526513686,-111.69520072937013,Incomplete
ASF214B,2021-11-07,1965,1300,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.40794511085436,-110.64878469848632,Complete
ASF143B,2021-11-07,2500,50,Wallow West,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.7274455023327,-109.46513064575196,Complete
ASF639B,2021-11-07,2500,1500,Wallow West Unit 5,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.03177201005478,-109.40311434936525,Complete
ASF143B,2021-11-08,1000,500,Wallow West,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.723733434561595,-109.46152575683594,Complete
PNF2005B,2021-11-08,415,400,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.5108992946454,-112.47296450805663,Complete
COF0734B,2021-11-08,600,150,Upper Beaver Creek,Broadcast,"U.S. Forest Service, Coconino, Mogollon",34.75700479924986,-111.46078469848632,Complete
ASF214B,2021-11-08,1965,265,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.41275261031902,-110.62830493164061,Complete
TNF0531B,2021-11-08,408,408,Chamberlain,Broadcast,"U.S. Forest Service, NA, Payson",34.23535731444559,-110.82450448608395,Complete
KNF0438B,2021-11-08,241,241,Reed,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.97019275074935,-112.08092159271239,Complete
COF0801B,2021-11-08,553,553,Horseshoe,Broadcast,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.34544869341718,-111.80044282531738,Complete
ASF639B,2021-11-08,542,542,Wallow West Unit 5,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.03177201005478,-109.40311434936525,Complete
PNF2005B,2021-11-09,200,0,Bradshaw Landscape,Broadcast,"U.S. Forest Service, Prescott, Bradshaw",34.50686781120505,-112.47193453979492,Incomplete
COF0734B,2021-11-09,700,0,Upper Beaver Creek,Broadcast,"U.S. Forest Service, Coconino, Mogollon",34.74882447537136,-111.46061303710937,Incomplete
COF804B,2021-11-09,1216,1216,Bar M,Broadcast,"U.S. Forest Service, Coconino, Flagstaff (COF)",34.873873810693354,-111.42742272949219,Complete
KNF0438B,2021-11-09,1500,160,Reed,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.92916317784985,-112.02770656585692,Complete
ASF214B,2021-11-10,1000,1000,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.32,-110.512,Complete
KNF0439B,2021-11-10,1069,1069,Blue Stem,Broadcast,"U.S. Forest Service, Kaibab, Tusayan",35.873,-111.94,Complete
