Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
4/5/2016,U.S. Forest Service,Kaibab,Williams,KNF0130B,Kendrick,267,201,(35.4402886033169; -111.89107360839841)
4/5/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,1500,(33.30115185710635; -109.33889083862306)
4/5/2016,U.S. Forest Service,Coronado,Safford,CNF0415B,Turkey Flat,20,20,(32.63614455828241; -109.81670031738281)
4/6/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0245B,Woody,380,380,(35.10433438273293; -111.73298233032227)
4/6/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,1500,(33.29541271039349; -109.32309799194337)
4/6/2016,U.S. Forest Service,Kaibab,Williams,KNF0130B,Kendrick,524,524,(35.40500000000004; -111.90917980957033)
4/6/2016,U.S. Forest Service,Coronado,Safford,CNF0415B,Turkey Flat,20,0,(32.63665051043144; -109.81678614807129)
4/6/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0630B,Mineral Broadcast,1051,945,(34.16257598238738; -109.54098297882081)
4/7/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0245B,Woody,700,630,(35.15736728262531; -111.73105113983155)
4/7/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,1500,(33.33557880637044; -109.34301071166993)
4/8/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,1500,(33.302299641136386; -109.30524520874024)
4/11/2016,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,5,5,(33.53529608340549; -111.44156994628906)
4/11/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,140,140,(33.30172575100946; -109.30181198120118)
4/12/2016,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,5,0,(34.698121590455784; -112.13930231236759)
4/13/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0630B,Mineral Broadcast,388,0,(34.19035813740439; -109.61307002830506)
4/13/2016,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,15,15,(34.69615981881371; -112.14362816020752)
4/14/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0532B,Mountainaire,6,1,(35.076487945574236; -111.67501892089842)
4/15/2016,U.S. Forest Service,Prescott,Bradshaw,PNF1104B,West Zone Crush,3,3,(34.49584646100072; -112.45202362060547)
4/16/2016,U.S. Forest Service,Prescott,Bradshaw,PNF1104B,West Zone Crush,3,2,(34.48280123101656; -112.44392113341484)
4/20/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,1071,900,(34.63302638384696; -111.31282501220704)
4/20/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0248B,East Side Project Broadcast,480,90,(35.16661044037475; -111.62981176757813)
4/21/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,488,0,(34.62264426266711; -111.31436996459962)
4/26/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,600,0,(34.60470202584598; -111.33084945678712)
4/27/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0214B,Pete,300,240,(35.41608295005839; -111.66864771423343)
4/27/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0532P,Mountainaire,860,860,(35.0633866490411; -111.65399040222167)
4/27/2016,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,200,41,(36.71599237274295; -112.213408782959)
4/27/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,600,475,(34.605055256900805; -111.33205108642579)
4/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,1,1,(34.45476686865578; -112.45993248883076)
4/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,60,0,(34.45471025217958; -112.50507944406615)
4/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,1,1,(34.46308943645232; -112.44407095769327)
4/28/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,5,0,(34.15951756185064; -112.30200405346602)
4/28/2016,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,100,32,(36.73137682130321; -112.21153123664857)
4/29/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,5,0,(34.160653936804316; -112.30145472448691)
4/29/2016,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,75,16,(36.724867400010005; -112.21152050781251)
